game_id,language,n_rounds_is_known,max_rounds,played_rounds,agents_communicate,agent1_name,agent1_llm,agent1_personality,agent1_knows_opponent_with_prob,agent1_strategies,agent1_scores,agent1_messages,agent2_name,agent2_llm,agent2_personality,agent2_knows_opponent_with_prob,agent2_strategies,agent2_scores,agent2_messages,agent3_name,agent3_llm,agent3_personality,agent3_knows_opponent_with_prob,agent3_strategies,agent3_scores,agent3_messages,agent1NoiseRate,agent2NoiseRate,experiment_run_id
game_0,en,True,5,5,False,agent1,MockLLM,None,0,"['Keep', 'Contribute', 'Contribute', 'Contribute', 'Contribute']","[23.3, 13.3, 20.0, 20.0, 13.3]",[],agent2,MockLLM,None,0,"['Contribute', 'Keep', 'Contribute', 'Contribute', 'Contribute']","[13.3, 23.3, 20.0, 20.0, 13.3]",[],agent3,MockLLM,None,0,"['Contribute', 'Contribute', 'Contribute', 'Contribute', 'Keep']","[13.3, 13.3, 20.0, 20.0, 23.3]",[],0.0,0.0,0
game_1,vn,True,5,5,False,agent1,MockLLM,Không có,0,"['Giữ lại', 'Đóng góp', 'Đóng góp', 'Đóng góp', 'Đóng góp']","[10.0, 20.0, 20.0, 13.3, 13.3]",[],agent2,MockLLM,Không có,0,"['Giữ lại', 'Đóng góp', 'Đóng góp', 'Giữ lại', 'Giữ lại']","[10.0, 20.0, 20.0, 23.3, 23.3]",[],agent3,MockLLM,Không có,0,"['Giữ lại', 'Đóng góp', 'Đóng góp', 'Đóng góp', 'Đóng góp']","[10.0, 20.0, 20.0, 13.3, 13.3]",[],0.0,0.0,0
game_2,fr,True,5,5,False,agent1,MockLLM,Aucun,0,"['Contribuer', 'Contribuer', 'Garder', 'Garder', 'Contribuer']","[20.0, 13.3, 23.3, 16.7, 13.3]",[],agent2,MockLLM,Aucun,0,"['Contribuer', 'Contribuer', 'Contribuer', 'Contribuer', 'Contribuer']","[20.0, 13.3, 13.3, 6.7, 13.3]",[],agent3,MockLLM,Aucun,0,"['Contribuer', 'Garder', 'Contribuer', 'Garder', 'Garder']","[20.0, 23.3, 13.3, 16.7, 23.3]",[],0.0,0.0,0
game_3,it,True,5,5,False,agent1,MockLLM,Nessuno,0,"['Tenere', 'Tenere', 'Contribuire', 'Tenere', 'Tenere']","[16.7, 16.7, 13.3, 23.3, 10.0]",[],agent2,MockLLM,Nessuno,0,"['Contribuire', 'Contribuire', 'Contribuire', 'Contribuire', 'Tenere']","[6.7, 6.7, 13.3, 13.3, 10.0]",[],agent3,MockLLM,Nessuno,0,"['Tenere', 'Tenere', 'Tenere', 'Contribuire', 'Tenere']","[16.7, 16.7, 23.3, 13.3, 10.0]",[],0.0,0.0,0
game_4,cn,True,5,5,False,agent1,MockLLM,无,0,"['贡献', '保留', '贡献', '保留', '保留']","[6.7, 16.7, 13.3, 10.0, 16.7]",[],agent2,MockLLM,无,0,"['保留', '保留', '保留', '保留', '贡献']","[16.7, 16.7, 23.3, 10.0, 6.7]",[],agent3,MockLLM,无,0,"['保留', '贡献', '贡献', '保留', '保留']","[16.7, 6.7, 13.3, 10.0, 16.7]",[],0.0,0.0,0
game_5,ar,True,5,5,False,agent1,MockLLM,لا شيء,0,"['مساهمة', 'مساهمة', 'مساهمة', 'احتفاظ', 'احتفاظ']","[6.7, 13.3, 13.3, 16.7, 10.0]",[],agent2,MockLLM,لا شيء,0,"['احتفاظ', 'احتفاظ', 'احتفاظ', 'مساهمة', 'احتفاظ']","[16.7, 23.3, 23.3, 6.7, 10.0]",[],agent3,MockLLM,لا شيء,0,"['احتفاظ', 'مساهمة', 'مساهمة', 'احتفاظ', 'احتفاظ']","[16.7, 13.3, 13.3, 16.7, 10.0]",[],0.0,0.0,0
game_1,vn,True,5,5,False,agent1,MockLLM,Không có,0,"['Đóng góp', 'Giữ lại', 'Giữ lại', 'Giữ lại', 'Giữ lại']","[6.7, 10.0, 10.0, 16.7, 23.3]",[],agent2,MockLLM,Không có,0,"['Giữ lại', 'Giữ lại', 'Giữ lại', 'Đóng góp', 'Đóng góp']","[16.7, 10.0, 10.0, 6.7, 13.3]",[],agent3,MockLLM,Không có,0,"['Giữ lại', 'Giữ lại', 'Giữ lại', 'Giữ lại', 'Đóng góp']","[16.7, 10.0, 10.0, 16.7, 13.3]",[],0.0,0.1,1
game_0,en,True,5,5,False,agent1,MockLLM,None,0,"['Contribute', 'Keep', 'Contribute', 'Keep', 'Keep']","[13.3, 16.7, 13.3, 16.7, 16.7]",[],agent2,MockLLM,None,0,"['Contribute', 'Keep', 'Keep', 'Keep', 'Contribute']","[13.3, 16.7, 23.3, 16.7, 6.7]",[],agent3,MockLLM,None,0,"['Keep', 'Contribute', 'Contribute', 'Contribute', 'Keep']","[23.3, 6.7, 13.3, 6.7, 16.7]",[],0.0,0.1,1
game_3,it,True,5,5,False,agent1,MockLLM,Nessuno,0,"['Contribuire', 'Contribuire', 'Contribuire', 'Tenere', 'Contribuire']","[6.7, 13.3, 13.3, 23.3, 13.3]",[],agent2,MockLLM,Nessuno,0,"['Tenere', 'Contribuire', 'Tenere', 'Contribuire', 'Contribuire']","[16.7, 13.3, 23.3, 13.3, 13.3]",[],agent3,MockLLM,Nessuno,0,"['Tenere', 'Tenere', 'Contribuire', 'Contribuire', 'Tenere']","[16.7, 23.3, 13.3, 13.3, 23.3]",[],0.0,0.1,1
game_2,fr,True,5,5,False,agent1,MockLLM,Aucun,0,"['Garder', 'Garder', 'Garder', 'Contribuer', 'Garder']","[16.7, 16.7, 16.7, 13.3, 10.0]",[],agent2,MockLLM,Aucun,0,"['Contribuer', 'Garder', 'Garder', 'Garder', 'Garder']","[6.7, 16.7, 16.7, 23.3, 10.0]",[],agent3,MockLLM,Aucun,0,"['Garder', 'Contribuer', 'Contribuer', 'Contribuer', 'Garder']","[16.7, 6.7, 6.7, 13.3, 10.0]",[],0.0,0.1,1
