Unnamed: 0,type,full_question,label,accuracy,ci_lb,ci_ub,llm_name,noise_level
0,time,metadata,metadata,0.0,0.0,0.0,Mistral-7B-Instruct-v0.3,0
1,time,Qual è il turno attuale del gioco?,current_round,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
2,time,Quale azione ha giocato il giocatore agent1 nel turno 8?,action_agent1_8,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
3,time,Quale azione ha giocato il giocatore agent1 nel turno 9?,action_agent1_9,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
4,time,Quale azione ha giocato il giocatore agent1 nel turno 10?,action_agent1_10,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
5,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 8?,points_agent1_8,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
6,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 9?,points_agent1_9,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
7,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 10?,points_agent1_10,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
8,time,Quale azione ha giocato il giocatore agent2 nel turno 8?,action_agent2_8,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
9,time,Quale azione ha giocato il giocatore agent2 nel turno 9?,action_agent2_9,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
10,time,Quale azione ha giocato il giocatore agent2 nel turno 10?,action_agent2_10,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
11,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 8?,points_agent2_8,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
12,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 9?,points_agent2_9,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
13,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 10?,points_agent2_10,0.0,0.0,0.0,Mistral-7B-Instruct-v0.3,0
14,time,Quale azione ha giocato il giocatore agent1 nel turno 18?,action_agent1_18,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
15,time,Quale azione ha giocato il giocatore agent1 nel turno 19?,action_agent1_19,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
16,time,Quale azione ha giocato il giocatore agent1 nel turno 20?,action_agent1_20,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
17,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 18?,points_agent1_18,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
18,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 19?,points_agent1_19,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
19,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 20?,points_agent1_20,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
20,time,Quale azione ha giocato il giocatore agent2 nel turno 18?,action_agent2_18,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
21,time,Quale azione ha giocato il giocatore agent2 nel turno 19?,action_agent2_19,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
22,time,Quale azione ha giocato il giocatore agent2 nel turno 20?,action_agent2_20,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
23,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 18?,points_agent2_18,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
24,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 19?,points_agent2_19,0.0,0.0,0.0,Mistral-7B-Instruct-v0.3,0
25,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 20?,points_agent2_20,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
26,time,Quale azione ha giocato il giocatore agent1 nel turno 28?,action_agent1_28,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
27,time,Quale azione ha giocato il giocatore agent1 nel turno 29?,action_agent1_29,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
28,time,Quale azione ha giocato il giocatore agent1 nel turno 30?,action_agent1_30,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
29,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 28?,points_agent1_28,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
30,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 29?,points_agent1_29,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
31,time,Quanti penalità ha raccolto il giocatore agent1 nel turno 30?,points_agent1_30,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
32,time,Quale azione ha giocato il giocatore agent2 nel turno 28?,action_agent2_28,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
33,time,Quale azione ha giocato il giocatore agent2 nel turno 29?,action_agent2_29,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
34,time,Quale azione ha giocato il giocatore agent2 nel turno 30?,action_agent2_30,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
35,time,Quanti penalità ha raccolto il giocatore agent2 nel turno 28?,points_agent2_28,1.0,1.0,1.0,Mistral-7B-Instruct-v0.3,0
